SITEID,LAT,LON
2007190857.0,-24.2548,135.2333
2007190858.0,-18.1389,141.1677
2007190859.0,-20.876,116.5133
2007190861.0,-29.545,116.7141
2007190862.0,-16.1606,136.7569
2007190864.0,-29.353,117.818
2007190865.0,-30.7437,136.9055
2007190866.0,-15.1022,133.0758
2007190867.0,-23.5566,145.805
2007190868.0,-14.8267,130.1846
2007190870.0,-31.9877,137.209
2007190871.0,-33.5921,122.1733
2007190874.0,-17.4093,130.7745
2007190875.0,-28.1323,136.783
2007190876.0,-20.4024,147.3504
2007190877.0,-34.9843,116.6303
2007190878.0,-25.589,152.7003
2007190879.0,-14.7153,132.0814
2007190881.0,-27.6989,117.984
2007190882.0,-17.7516,131.534
2007190883.0,-26.546,115.4845
2007190884.0,-16.6439,135.8449
2007190885.0,-35.7758,143.9195
2007190886.0,-38.6608,146.2738
2007190887.0,-13.7987,130.4168
2007190888.0,-33.5035,135.3287
2007190889.0,-33.8296,120.7941
2007190890.0,-31.202,119.2939
2007190891.0,-21.8688,136.077
2007190894.0,-31.1289,124.3097
2007190895.0,-29.7012,147.3687
2007190896.0,-28.2661,117.3893
2007190897.0,-25.3697,151.0842
2007190898.0,-27.1317,152.507
2007190901.0,-31.3509,120.2086
2007190902.0,-37.7103,144.8385
2007190903.0,-13.5832,135.6974
2007190904.0,-20.0537,119.3111
2007190905.0,-20.2009,133.871
2007190906.0,-29.8026,138.3651
2007190907.0,-32.1559,135.8575
2007190909.0,-25.1924,137.9374
2007190910.0,-20.7992,134.2423
2007190912.0,-22.2841,148.9417
2007190913.0,-30.6933,134.2806
2007190914.0,-27.3875,117.765
2007190915.0,-25.1933,115.5112
2007190916.0,-20.1088,132.9901
2007190917.0,-22.6456,119.9692
2007190918.0,-35.2496,138.995
2007190919.0,-19.5582,147.1029
2007190921.0,-18.8053,143.277
2007190922.0,-35.0844,139.8851
2007190923.0,-25.7417,114.2953
2007190924.0,-18.1708,133.4923
2007190925.0,-17.2355,138.6776
2007190926.0,-31.829,145.2772
2007190927.0,-30.752,152.1917
2007190928.0,-26.289,116.8887
2007190929.0,-29.4448,153.2102
2007190930.0,-15.5033,142.5384
2007190931.0,-23.8345,130.3792
2007190932.0,-22.8607,120.2892
2007190933.0,-26.6445,141.8027
2007190936.0,-26.3919,146.2478
2007190939.0,-32.2717,137.7536
2007190941.0,-12.1047,142.278
2007190942.0,-17.6611,123.3923
2007190943.0,-30.9179,144.0125
2007190945.0,-31.4474,152.7398
2007190946.0,-21.6439,129.6783
2007190947.0,-29.7009,147.369
2007190948.0,-23.9337,135.849
2007190949.0,-32.4485,136.0046
2007190950.0,-24.1176,136.8895
2007190951.0,-28.1765,115.702
2007190952.0,-31.5839,127.66
2007190953.0,-30.938,116.0506
