lat,lon,catchment_km2,pct_in_domain
26.0,75.13,185.9,100.0
25.96,75.01,185.9,100.0
26.0,75.05,185.9,100.0
25.96,75.03,185.9,100.0
25.96,75.05,185.9,100.0
26.0,75.11,185.9,100.0
26.0,75.09,185.9,100.0
25.92,75.03,199.0,100.0
25.96,75.07,120.2,100.0
25.96,75.09,120.2,100.0
25.96,75.11,120.2,100.0
25.96,75.13,120.2,100.0
25.96,75.15,120.2,100.0
26.0,75.07,185.9,100.0
25.87,75.13,199.0,100.0
25.74,75.13,1415.5,98.7
25.74,75.15,1415.5,98.7
25.74,75.17,1415.5,98.7
25.72,75.15,1415.5,98.7
25.89,75.21,346.2,92.2
25.89,75.24,346.2,92.2
25.87,75.24,346.2,92.2
25.85,75.21,346.2,92.2
25.87,75.26,346.2,92.2
25.89,75.23,346.2,92.2
25.87,75.21,346.2,92.2
25.87,75.23,346.2,92.2
25.9,75.3,460.5,69.3
25.89,75.32,460.5,69.3
25.89,75.3,460.5,69.3
25.87,75.3,460.5,69.3
25.87,75.28,460.5,69.3
25.1894,74.6281,3271.0,39.8
25.2075,74.6281,3271.0,39.8
25.295,74.629,3271.0,39.8
25.1894,74.5689,3271.0,39.8
25.2075,74.6478,3271.0,39.8
25.2256,74.5689,3271.0,39.8
25.2075,74.6083,3271.0,39.8
25.1714,74.6281,3271.0,39.8
25.2075,74.5886,3271.0,39.8
25.2075,74.5689,3271.0,39.8
25.1894,74.5886,3271.0,39.8
25.2256,74.6083,3271.0,39.8
25.295,74.609,3271.0,39.8
25.2256,74.6281,3271.0,39.8
25.2256,74.6478,3271.0,39.8
25.1894,74.6478,3271.0,39.8
25.1894,74.6083,3271.0,39.8
25.2256,74.5886,3271.0,39.8
25.295,74.57,3271.0,39.8
25.1714,74.6083,3271.0,39.8
25.295,74.59,3271.0,39.8
25.259,74.57,3271.0,39.8
25.259,74.59,3271.0,39.8
25.259,74.609,3271.0,39.8
25.259,74.629,3271.0,39.8
25.1714,74.5886,3271.0,39.8
25.313,74.55,3271.0,39.8
25.313,74.57,3271.0,39.8
25.313,74.59,3271.0,39.8
25.313,74.609,3271.0,39.8
25.313,74.629,3271.0,39.8
25.277,74.55,3271.0,39.8
25.277,74.57,3271.0,39.8
25.277,74.59,3271.0,39.8
25.277,74.609,3271.0,39.8
25.277,74.629,3271.0,39.8
25.331,74.55,3271.0,39.8
25.331,74.57,3271.0,39.8
25.331,74.59,3271.0,39.8
25.331,74.609,3271.0,39.8
25.277,74.649,3271.0,39.8
25.295,74.55,3271.0,39.8
25.259,74.55,3271.0,39.8
25.259,74.649,3271.0,39.8
25.2436,74.5886,3271.0,39.8
25.2436,74.6083,3271.0,39.8
25.2436,74.6281,3271.0,39.8
25.2436,74.6478,3271.0,39.8
25.1533,74.5886,3271.0,39.8
25.2436,74.5689,3271.0,39.8
25.1714,74.5689,3271.0,39.8
25.313,74.649,3349.1,38.9
25.2256,74.7069,3349.1,38.9
25.2256,74.7269,3349.1,38.9
25.295,74.669,3349.1,38.9
25.277,74.669,3349.1,38.9
25.277,74.689,3349.1,38.9
25.277,74.709,3349.1,38.9
25.2075,74.6675,3349.1,38.9
25.2075,74.6872,3349.1,38.9
